mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Dtdc,light_truck,diesel,80,2000.0,1040.0,30.89,Heavy,7,3,BS-III,6.51,,,12.33,0.52,29.592
Road,Dtdc,light_truck,diesel,158,1800.0,360.0,30.74,Heavy,19,5,BS-III,7.298,,,21.679,0.2,52.03
Road,Dtdc,light_truck,diesel,148,1800.0,972.0,35.07,Low,9,8,BS-IV,8.286,,,17.889,0.54,41.145
Road,Dtdc,light_truck,diesel,146,1500.0,300.0,26.24,Moderate,10,5,BS-VI,6.356,,,23.048,0.2,48.401
Road,Dtdc,light_truck,diesel,161,2000.0,400.0,35.43,Moderate,6,4,BS-III,8.486,,,19.041,0.2,45.698
Road,Dtdc,light_truck,diesel,101,2000.0,400.0,37.01,Heavy,15,5,BS-VI,8.565,,,11.847,0.2,24.879
Road,Dtdc,light_truck,diesel,162,2000.0,400.0,36.45,Moderate,19,5,BS-VI,9.751,,,16.672,0.2,35.011
Road,Dtdc,light_truck,diesel,149,1800.0,1620.0,32.83,Moderate,20,5,BS-IV,7.216,,,20.784,0.9,47.803
Road,Dtdc,light_truck,diesel,153,2200.0,440.0,36.1,Moderate,18,5,BS-VI,7.627,,,20.146,0.2,42.307
Road,Dtdc,light_truck,diesel,159,1800.0,1008.0,29.56,Moderate,6,6,BS-IV,6.845,,,23.249,0.56,53.473
Road,Dtdc,light_truck,diesel,120,2200.0,1870.0,27.83,Moderate,12,4,BS-IV,8.559,,,14.102,0.85,32.435
Road,Dtdc,light_truck,diesel,106,1500.0,300.0,29.62,Heavy,16,3,BS-IV,6.407,,,16.604,0.2,38.189
Road,Dtdc,light_truck,diesel,165,1800.0,360.0,28.29,Low,17,4,BS-IV,8.483,,,19.491,0.2,44.829
Road,Dtdc,light_truck,diesel,65,1500.0,300.0,25.15,Moderate,19,5,BS-IV,8.462,,,7.766,0.2,17.862
Road,Dtdc,light_truck,diesel,155,1500.0,300.0,37.76,Moderate,20,3,BS-VI,8.444,,,18.418,0.2,38.678
Road,Dtdc,light_truck,diesel,73,2200.0,440.0,34.91,Heavy,6,6,BS-IV,8.339,,,8.824,0.2,20.295
Road,Dtdc,light_truck,diesel,142,1800.0,1350.0,29.05,Moderate,17,8,BS-IV,8.764,,,16.303,0.75,37.497
Road,Dtdc,light_truck,diesel,91,1800.0,864.0,33.13,Low,15,3,BS-IV,7.103,,,12.83,0.48,29.509
Road,Dtdc,light_truck,diesel,78,1800.0,1368.0,37.96,Low,10,1,BS-VI,8.198,,,9.551,0.76,20.057
Road,Dtdc,light_truck,diesel,169,1500.0,300.0,34.89,Moderate,19,6,BS-IV,7.391,,,22.983,0.2,52.861
Road,Dtdc,light_truck,diesel,160,1500.0,615.0,31.82,Heavy,11,2,BS-IV,7.938,,,20.28,0.41,46.644
Road,Dtdc,light_truck,diesel,79,1500.0,300.0,34.64,Moderate,7,3,BS-III,6.508,,,12.142,0.2,29.141
Road,Dtdc,light_truck,diesel,85,1800.0,846.0,35.82,Moderate,13,5,BS-IV,7.192,,,11.894,0.47,27.356
Road,Flipkart,light_truck,electric,59,1500.0,770.83,32.44,Moderate,20,5,Electric,,0.03623,2.1405,,0.5139,1.7552
Road,Flipkart,light_truck,electric,145,1000.0,430.35,36.67,Low,51,1,Electric,,0.03174,4.6315,,0.4304,3.7978
Road,Flipkart,light_truck,electric,164,1200.0,902.2,46.26,Low,36,6,Electric,,0.03471,5.7192,,0.7518,4.6897
Road,Flipkart,light_truck,electric,185,1000.0,566.36,49.68,Low,49,2,Electric,,0.03996,7.3958,,0.5664,6.0646
Road,Flipkart,light_truck,electric,66,1000.0,479.08,37.16,Low,52,2,Electric,,0.03161,2.1017,,0.4791,1.7234
Road,Flipkart,light_truck,electric,89,1200.0,1014.04,40.52,Heavy,19,3,Electric,,0.0406,3.6463,,0.845,2.99
Road,Flipkart,light_truck,electric,104,2000.0,930.86,40.08,Heavy,17,5,Electric,,0.04445,4.6366,,0.4654,3.802
Road,Flipkart,light_truck,electric,180,2000.0,1161.96,42.87,Low,18,3,Electric,,0.0409,7.364,,0.581,6.0385
Road,Flipkart,light_truck,electric,113,1000.0,694.16,48.19,Low,20,2,Electric,,0.03821,4.3536,,0.6942,3.57
Road,Flipkart,light_truck,electric,59,1500.0,1161.89,41.71,Heavy,35,3,Electric,,0.0468,2.801,,0.7746,2.2968
Road,Flipkart,light_truck,electric,129,1800.0,1266.0,38.6,Heavy,22,6,Electric,,0.04377,5.6717,,0.7033,4.6508
Road,Flipkart,light_truck,electric,181,2000.0,1665.01,34.3,Moderate,29,3,Electric,,0.03762,6.834,,0.8325,5.6039
Road,Flipkart,light_truck,electric,118,1800.0,1507.98,36.25,Moderate,57,2,Electric,,0.03763,4.4411,,0.8378,3.6417
Road,Flipkart,light_truck,electric,72,1800.0,792.5,46.64,Low,42,0,Electric,,0.03831,2.7928,,0.4403,2.2901
Road,Flipkart,light_truck,electric,105,1200.0,880.59,41.73,Heavy,50,2,Electric,,0.0426,4.5113,,0.7338,3.6993
Road,Flipkart,light_truck,electric,111,1800.0,1657.54,44.42,Moderate,53,2,Electric,,0.03756,4.1924,,0.9209,3.4378
Road,Flipkart,light_truck,electric,136,1200.0,591.41,39.64,Low,37,6,Electric,,0.03871,5.2913,,0.4928,4.3389
Road,Flipkart,light_truck,electric,67,1500.0,1116.69,46.14,Heavy,54,4,Electric,,0.04336,2.9151,,0.7445,2.3904
Road,Flipkart,light_truck,electric,133,2000.0,1914.9,46.59,Moderate,16,1,Electric,,0.0364,4.8598,,0.9575,3.985
Road,Flipkart,light_truck,electric,164,1500.0,915.92,33.63,Low,51,5,Electric,,0.03685,6.0567,,0.6106,4.9665
Road,Flipkart,light_truck,electric,71,1000.0,455.05,40.61,Moderate,41,3,Electric,,0.03692,2.6317,,0.4551,2.158
Road,Flipkart,light_truck,electric,105,1500.0,1299.15,41.35,Low,18,1,Electric,,0.03344,3.5283,,0.8661,2.8932
Road,Flipkart,light_truck,electric,142,1000.0,563.26,43.24,Moderate,53,3,Electric,,0.0379,5.4076,,0.5633,4.4342
Road,Flipkart,light_truck,electric,82,2000.0,936.58,38.6,Moderate,58,5,Electric,,0.04042,3.3282,,0.4683,2.7291
Road,Flipkart,light_truck,electric,129,1500.0,640.88,37.91,Heavy,18,0,Electric,,0.03596,4.6403,,0.4273,3.805
Road,Flipkart,light_truck,electric,191,1200.0,1030.2,35.79,Low,15,3,Electric,,0.04041,7.7506,,0.8585,6.3555
Road,Flipkart,light_truck,electric,76,1800.0,1295.19,34.6,Heavy,57,6,Electric,,0.0402,3.0693,,0.7196,2.5168
Road,Flipkart,light_truck,electric,109,1000.0,661.73,39.2,Low,35,4,Electric,,0.03693,4.0461,,0.6617,3.3178
Road,Flipkart,light_truck,electric,110,1800.0,1032.68,38.1,Moderate,25,6,Electric,,0.0451,4.9908,,0.5737,4.0925
Road,Flipkart,light_truck,electric,119,1500.0,679.32,46.89,Low,42,4,Electric,,0.03622,4.3105,,0.4529,3.5346
Road,Flipkart,light_truck,diesel,158,2000.0,1160.0,37.39,Heavy,14,2,BS-VI,1.23,,,17.308,0.58,36.347
Road,Flipkart,light_truck,diesel,141,1500.0,885.0,29.18,Moderate,12,8,BS-IV,8.942,,,15.786,0.59,36.308
Road,Flipkart,light_truck,diesel,81,1500.0,645.0,29.66,Moderate,8,5,BS-VI,8.656,,,9.435,0.43,19.814
Road,Flipkart,light_truck,diesel,115,2000.0,400.0,33.1,Moderate,7,5,BS-III,6.969,,,16.559,0.2,39.742
Road,Flipkart,light_truck,diesel,103,1800.0,1422.0,37.59,Heavy,20,6,BS-III,7.738,,,13.341,0.79,32.018
Road,Flipkart,light_truck,diesel,103,1500.0,735.0,37.9,Moderate,12,3,BS-VI,7.214,,,14.329,0.49,30.091
Road,Flipkart,light_truck,diesel,128,1500.0,300.0,36.44,Low,20,3,BS-III,9.656,,,13.261,0.2,31.826
Road,Flipkart,light_truck,diesel,118,1800.0,1080.0,33.64,Low,6,3,BS-IV,9.919,,,11.968,0.6,27.526
Road,Flipkart,light_truck,diesel,127,1500.0,1230.0,36.25,Moderate,16,5,BS-IV,6.93,,,18.434,0.82,42.398
Road,Flipkart,light_truck,diesel,75,2200.0,1012.0,30.23,Moderate,16,4,BS-III,7.367,,,10.242,0.46,24.581
Road,Flipkart,light_truck,diesel,141,1500.0,1215.0,29.75,Moderate,10,3,BS-VI,7.936,,,17.839,0.81,37.462
Road,Flipkart,light_truck,diesel,166,1500.0,1110.0,25.15,Low,20,5,BS-IV,9.616,,,17.298,0.74,39.785
Road,Flipkart,light_truck,diesel,121,2200.0,1914.0,29.19,Moderate,12,6,BS-III,7.398,,,16.396,0.87,39.35
Road,Flipkart,light_truck,diesel,68,1500.0,300.0,32.72,Moderate,6,8,BS-IV,7.627,,,9.044,0.2,20.801
Road,Flipkart,light_truck,diesel,81,1800.0,1548.0,35.15,Moderate,14,8,BS-VI,8.905,,,9.157,0.86,19.23
Road,Flipkart,light_truck,diesel,140,2200.0,1210.0,29.13,Moderate,16,4,BS-VI,3.45,,,16.428,0.55,34.499
Road,Flipkart,light_truck,diesel,136,2200.0,1012.0,30.92,Moderate,9,8,BS-IV,9.238,,,14.811,0.46,34.065
Road,Flipkart,light_truck,diesel,126,2000.0,400.0,29.78,Moderate,20,7,BS-IV,8.732,,,14.486,0.2,33.318
Road,Flipkart,light_truck,diesel,147,2200.0,440.0,25.63,Heavy,12,7,BS-IV,8.697,,,16.953,0.2,38.992
Road,Flipkart,light_truck,diesel,150,2000.0,1500.0,31.17,Moderate,7,8,BS-III,6.461,,,23.219,0.75,55.726
Road,Flipkart,light_truck,diesel,98,2000.0,400.0,33.62,Moderate,14,8,BS-IV,7.893,,,12.45,0.2,28.635
Road,Flipkart,light_truck,diesel,101,1800.0,360.0,31.37,Low,10,8,BS-IV,9.643,,,10.57,0.2,24.311
Road,Flipkart,light_truck,diesel,108,2000.0,940.0,33.06,Moderate,16,4,BS-VI,7.434,,,14.617,0.47,30.696
Road,Flipkart,light_truck,diesel,95,2000.0,1060.0,27.76,Low,11,6,BS-III,7.084,,,13.522,0.53,32.453
Road,Flipkart,light_truck,lng,523,10000.0,8141.41,56.17,Moderate,6,5,BS-IV,3.154,,,166.1,0.8141,456.77
Road,Flipkart,light_truck,lng,446,12000.0,8469.12,62.08,Heavy,13,4,BS-IV,3.546,,,125.91,0.7058,346.25
Road,Flipkart,light_truck,lng,349,9000.0,3662.5,62.46,Moderate,14,1,BS-VI,4.082,,,85.59,0.4069,235.37
Road,Flipkart,light_truck,lng,421,13000.0,11082.25,47.71,Low,10,3,BS-VI,3.949,,,106.64,0.8525,293.26
Road,Flipkart,light_truck,lng,648,9000.0,5172.53,61.66,Moderate,7,2,BS-IV,4.032,,,160.91,0.5747,442.5
Road,Flipkart,light_truck,lng,447,11000.0,8165.42,53.78,Moderate,15,6,BS-VI,3.123,,,143.37,0.7423,394.27
Road,Flipkart,light_truck,lng,453,14000.0,8836.29,51.58,Low,4,5,BS-VI,3.779,,,119.93,0.6312,329.81
Road,Flipkart,light_truck,lng,618,12000.0,6052.37,52.74,Moderate,17,3,BS-VI,3.8,,,162.79,0.5044,447.67
Road,Flipkart,light_truck,lng,338,12000.0,9887.53,50.96,Moderate,17,3,BS-IV,3.785,,,89.47,0.824,246.04
Road,Flipkart,light_truck,lng,499,12000.0,8320.93,65.55,Heavy,4,4,BS-IV,3.343,,,149.46,0.6934,411.02
Road,Flipkart,light_truck,lng,261,9000.0,4887.05,66.49,Heavy,15,4,BS-VI,3.253,,,80.24,0.543,220.66
Road,Flipkart,light_truck,lng,529,8000.0,6257.72,58.25,Moderate,5,0,BS-VI,3.472,,,152.44,0.7822,419.21
Road,Flipkart,light_truck,lng,605,13000.0,9954.98,66.62,Moderate,8,3,BS-IV,3.51,,,172.63,0.7658,474.73
Road,Flipkart,light_truck,lng,412,9000.0,7984.21,45.48,Moderate,6,6,BS-IV,2.34,,,138.72,0.8871,381.48
Road,Flipkart,light_truck,lng,521,13000.0,6844.85,59.13,Low,16,3,BS-IV,3.321,,,157.06,0.5265,431.92
Road,Flipkart,light_truck,lng,504,9000.0,7151.02,57.57,Moderate,8,5,BS-IV,3.603,,,140.08,0.7946,385.22
Road,Flipkart,light_truck,lng,543,10000.0,8679.66,72.49,Low,16,0,BS-VI,3.997,,,136.02,0.868,374.06
Road,Flipkart,light_truck,lng,404,9000.0,6129.86,71.08,Low,8,4,BS-IV,3.578,,,113.15,0.6811,311.16
Road,Flipkart,light_truck,lng,482,8000.0,5081.03,62.56,Heavy,18,3,BS-VI,3.439,,,140.24,0.6351,385.66
Road,Flipkart,light_truck,lng,534,13000.0,7744.59,61.21,Heavy,16,6,BS-IV,3.203,,,166.79,0.5957,458.67
Road,Amazon,light_truck,diesel,166,1800.0,1062.0,36.7,Moderate,18,5,BS-III,8.837,,,18.873,0.59,45.295
Road,Amazon,light_truck,diesel,119,2200.0,990.0,30.1,Moderate,18,3,BS-IV,8.538,,,13.996,0.45,32.191
Road,Amazon,light_truck,diesel,62,1500.0,300.0,26.12,Moderate,13,1,BS-VI,9.595,,,6.475,0.2,13.598
Road,Amazon,light_truck,diesel,124,2000.0,400.0,26.35,Heavy,18,1,BS-III,7.752,,,16.053,0.2,38.527
Road,Amazon,light_truck,diesel,105,2000.0,900.0,36.56,Moderate,15,4,BS-IV,8.186,,,12.851,0.45,29.557
Road,Amazon,light_truck,diesel,171,2200.0,440.0,26.04,Low,7,1,BS-III,7.254,,,23.671,0.2,56.81
Road,Amazon,light_truck,diesel,110,2000.0,400.0,32.75,Moderate,12,2,BS-VI,8.518,,,12.943,0.2,27.18
Road,Amazon,light_truck,diesel,117,2200.0,1122.0,31.35,Moderate,11,5,BS-IV,9.318,,,12.56,0.51,28.888
Road,Amazon,light_truck,diesel,168,1500.0,810.0,27.77,Moderate,15,7,BS-VI,6.341,,,26.622,0.54,55.906
Road,Amazon,light_truck,diesel,122,2200.0,1254.0,29.39,Moderate,9,1,BS-IV,7.694,,,15.889,0.57,36.545
Road,Amazon,light_truck,diesel,152,2200.0,1078.0,26.57,Moderate,18,8,BS-VI,6.085,,,25.137,0.49,52.788
Road,Amazon,light_truck,diesel,143,1500.0,1080.0,28.75,Moderate,12,7,BS-VI,8.392,,,17.077,0.72,35.862
Road,Amazon,light_truck,diesel,139,1800.0,1008.0,33.09,Moderate,20,4,BS-III,7.594,,,18.304,0.56,43.93
Road,Amazon,light_truck,diesel,86,1800.0,756.0,29.31,Heavy,16,2,BS-III,7.719,,,11.255,0.42,27.012
Road,Amazon,light_truck,diesel,111,1500.0,1320.0,31.42,Moderate,11,4,BS-III,8.482,,,13.181,0.88,31.634
Road,Amazon,light_truck,diesel,159,1800.0,1332.0,28.59,Moderate,8,6,BS-VI,7.665,,,20.844,0.74,43.772
Road,Amazon,light_truck,diesel,79,2200.0,440.0,33.42,Moderate,10,7,BS-IV,7.377,,,10.72,0.2,24.656
Road,Amazon,light_truck,diesel,120,2200.0,1298.0,35.18,Moderate,15,6,BS-III,7.226,,,16.666,0.59,39.998
Road,Amazon,light_truck,diesel,111,2200.0,440.0,26.9,Moderate,9,2,BS-III,8.592,,,12.948,0.2,31.075
Road,Amazon,light_truck,diesel,148,1500.0,810.0,32.57,Moderate,16,1,BS-III,6.525,,,22.688,0.54,54.451
Road,Amazon,light_truck,diesel,140,2200.0,440.0,29.38,Moderate,11,2,BS-III,9.749,,,14.385,0.2,34.524
Road,Amazon,light_truck,diesel,130,2200.0,968.0,27.57,Low,11,7,BS-VI,7.353,,,17.785,0.44,37.349
Road,Amazon,light_truck,diesel,99,1800.0,990.0,33.22,Low,16,1,BS-VI,8.146,,,12.269,0.55,25.765
Road,Amazon,light_truck,diesel,130,1500.0,870.0,30.57,Moderate,12,8,BS-III,8.269,,,15.823,0.58,37.975
Road,Amazon,light_truck,diesel,123,2200.0,440.0,26.61,Heavy,15,5,BS-III,6.602,,,18.746,0.2,44.99
Road,Amazon,light_truck,electric,61,1500.0,1271.22,34.43,Low,19,4,Electric,,0.03946,2.4386,,0.8475,1.9997
Road,Amazon,light_truck,electric,129,1200.0,1132.26,36.99,Heavy,56,6,Electric,,0.03819,4.949,,0.9435,4.0582
Road,Amazon,light_truck,electric,65,1500.0,777.54,42.05,Heavy,19,1,Electric,,0.04498,2.9426,,0.5184,2.4129
Road,Amazon,light_truck,electric,144,1800.0,1534.8,45.2,Moderate,58,4,Electric,,0.0414,5.9695,,0.8527,4.895
Road,Amazon,light_truck,electric,197,1500.0,1377.82,42.54,Low,43,0,Electric,,0.03647,7.2203,,0.9185,5.9206
Road,Amazon,light_truck,electric,144,1500.0,1132.28,37.04,Low,34,3,Electric,,0.03698,5.3514,,0.7549,4.3881
Road,Amazon,light_truck,electric,58,1500.0,669.06,47.29,Low,54,4,Electric,,0.03737,2.1873,,0.446,1.7936
Road,Amazon,light_truck,electric,119,2000.0,1945.08,44.78,Low,43,6,Electric,,0.03977,4.7489,,0.9725,3.8941
Road,Amazon,light_truck,electric,78,2000.0,1370.75,33.02,Low,43,0,Electric,,0.03955,3.0944,,0.6854,2.5374
Road,Amazon,light_truck,electric,175,1000.0,702.73,33.45,Low,60,3,Electric,,0.04265,7.4898,,0.7027,6.1416
Road,Amazon,light_truck,electric,128,2000.0,990.5,37.46,Moderate,39,3,Electric,,0.04175,5.3695,,0.4953,4.403
Road,Amazon,light_truck,electric,151,1000.0,873.54,42.95,Low,36,0,Electric,,0.03733,5.6678,,0.8735,4.6476
Road,Amazon,light_truck,electric,107,1500.0,1251.36,43.13,Heavy,24,2,Electric,,0.03592,3.8786,,0.8342,3.1805
Road,Amazon,light_truck,electric,149,1500.0,879.21,43.12,Heavy,40,1,Electric,,0.04113,6.1506,,0.5861,5.0435
Road,Amazon,light_truck,electric,190,1500.0,1103.03,42.87,Moderate,23,5,Electric,,0.04221,8.0494,,0.7354,6.6005
Road,Amazon,light_truck,electric,192,2000.0,912.14,43.41,Heavy,38,0,Electric,,0.03781,7.2622,,0.4561,5.955
Road,Amazon,light_truck,electric,77,1200.0,726.05,45.32,Low,29,1,Electric,,0.03287,2.5323,,0.605,2.0765
Road,Amazon,light_truck,electric,94,1000.0,704.61,40.8,Heavy,48,0,Electric,,0.04169,3.9343,,0.7046,3.2261
Road,Amazon,light_truck,electric,181,2000.0,957.26,37.53,Low,26,6,Electric,,0.0401,7.2765,,0.4786,5.9667
Road,Amazon,light_truck,electric,143,1200.0,999.25,30.87,Moderate,58,5,Electric,,0.03714,5.3374,,0.8327,4.3767
Road,Amazon,light_truck,electric,116,1500.0,1277.15,45.68,Low,49,1,Electric,,0.035,4.0821,,0.8514,3.3473
Road,Amazon,light_truck,electric,171,1800.0,1696.29,33.88,Heavy,51,3,Electric,,0.04091,7.0075,,0.9424,5.7462
Road,Amazon,light_truck,electric,92,1800.0,1263.14,38.37,Low,27,6,Electric,,0.03956,3.6502,,0.7017,2.9932
Road,Amazon,light_truck,electric,180,1000.0,784.71,47.48,Heavy,21,5,Electric,,0.04595,8.3147,,0.7847,6.8181
Road,Amazon,light_truck,electric,177,1500.0,675.49,33.21,Moderate,47,1,Electric,,0.04156,7.384,,0.4503,6.0549
Road,Vrl Logistics,medium_truck,diesel,84,3500.0,700.0,40.7,Heavy,15,8,BS-IV,4.174,,,20.307,0.2,46.706
Road,Vrl Logistics,medium_truck,diesel,198,5000.0,1000.0,41.97,Heavy,7,5,BS-VI,4.127,,,48.095,0.2,100.999
Road,Vrl Logistics,medium_truck,diesel,73,4500.0,900.0,45.23,Moderate,10,6,BS-IV,4.377,,,16.788,0.2,38.612
Road,Vrl Logistics,medium_truck,diesel,120,5000.0,1000.0,42.38,Moderate,10,7,BS-III,3.997,,,30.225,0.2,72.54
Road,Vrl Logistics,medium_truck,diesel,198,4000.0,800.0,43.01,Moderate,9,5,BS-III,4.987,,,39.753,0.2,95.407
Road,Vrl Logistics,medium_truck,diesel,190,5000.0,3650.0,37.32,Moderate,13,2,BS-VI,5.933,,,32.179,0.73,67.576
Road,Vrl Logistics,medium_truck,diesel,113,5000.0,1000.0,40.98,Moderate,6,5,BS-VI,6.347,,,12.57,0.2,37.395
Road,Vrl Logistics,medium_truck,diesel,77,4500.0,900.0,35.52,Moderate,12,7,BS-IV,4.344,,,11.0,0.2,41.103
Road,Vrl Logistics,medium_truck,diesel,103,4000.0,3000.0,46.71,Low,13,1,BS-III,6.126,,,1.1,0.75,40.447
Road,Vrl Logistics,medium_truck,diesel,137,5000.0,4200.0,43.98,Heavy,12,7,BS-VI,5.288,,,25.991,0.84,54.581
Road,Vrl Logistics,medium_truck,diesel,100,5000.0,2250.0,44.07,Moderate,7,5,BS-IV,4.331,,,23.267,0.45,53.514
Road,Vrl Logistics,medium_truck,diesel,216,4500.0,2295.0,41.62,Moderate,15,3,BS-III,5.546,,,39.107,0.51,93.857
Road,Vrl Logistics,medium_truck,diesel,121,5000.0,2300.0,35.07,Moderate,8,6,BS-VI,6.146,,,8.9,0.46,41.521
Road,Vrl Logistics,medium_truck,diesel,87,3500.0,700.0,38.3,Moderate,8,2,BS-III,4.209,,,20.896,0.2,50.15
Road,Vrl Logistics,medium_truck,diesel,103,4500.0,2475.0,34.24,Heavy,7,7,BS-VI,5.828,,,17.804,0.55,37.388
Road,Vrl Logistics,medium_truck,diesel,206,3500.0,700.0,33.66,Moderate,14,4,BS-III,5.079,,,40.719,0.2,97.726
Road,Vrl Logistics,medium_truck,diesel,160,3500.0,1575.0,32.71,Moderate,10,2,BS-VI,5.647,,,28.341,0.45,59.516
Road,Vrl Logistics,medium_truck,diesel,204,4000.0,800.0,30.21,Heavy,10,5,BS-IV,5.939,,,34.472,0.2,79.286
Road,Vrl Logistics,medium_truck,diesel,215,5000.0,4450.0,44.17,Low,11,10,BS-III,5.605,,,38.498,0.89,92.395
Road,Vrl Logistics,medium_truck,diesel,183,4500.0,2205.0,46.11,Moderate,14,9,BS-VI,4.605,,,39.755,0.49,83.486
Road,Vrl Logistics,medium_truck,diesel,150,4500.0,900.0,43.17,Low,12,6,BS-IV,5.527,,,27.159,0.2,62.466
Road,Vrl Logistics,medium_truck,diesel,150,4000.0,800.0,41.16,Moderate,7,3,BS-III,5.671,,,26.5,0.2,63.6
Road,Vrl Logistics,medium_truck,diesel,213,4500.0,2250.0,34.2,Moderate,13,5,BS-III,4.466,,,47.694,0.5,114.466
Road,Vrl Logistics,medium_truck,diesel,86,5000.0,1000.0,35.03,Heavy,5,7,BS-III,5.945,,,14.587,0.2,35.009
Road,Vrl Logistics,medium_truck,diesel,201,4000.0,3080.0,42.92,Moderate,5,5,BS-IV,5.426,,,37.169,0.77,85.489
Road,Vrl Logistics,medium_truck,diesel,164,4000.0,2280.0,44.18,Moderate,7,6,BS-III,3.931,,,41.956,0.57,100.694
Road,Vrl Logistics,medium_truck,diesel,155,4000.0,1640.0,33.21,Moderate,13,7,BS-III,3.969,,,39.073,0.41,93.775
Road,Vrl Logistics,medium_truck,diesel,176,4000.0,2160.0,41.84,Low,11,6,BS-VI,4.113,,,42.852,0.54,89.989
Road,Vrl Logistics,medium_truck,diesel,133,4500.0,900.0,46.85,Heavy,13,8,BS-IV,5.379,,,24.8,0.2,57.04
Road,Vrl Logistics,medium_truck,cng,593,13000.0,8224.77,65.32,Heavy,4,4,BS-IV,4.76,,,124.78,0.6327,343.14
Road,Vrl Logistics,medium_truck,cng,831,13000.0,10783.08,55.86,Low,3,2,BS-VI,7.18,,,115.75,0.8295,318.31
Road,Vrl Logistics,medium_truck,cng,327,13000.0,7142.57,62.42,Moderate,9,0,BS-VI,7.84,,,41.77,0.5494,114.87
Road,Vrl Logistics,medium_truck,cng,476,16000.0,8678.95,70.85,Low,3,0,BS-IV,5.95,,,80.05,0.5424,220.14
Road,Vrl Logistics,medium_truck,cng,369,20000.0,15223.77,51.4,Heavy,8,3,BS-VI,4.94,,,74.87,0.7612,205.89
Road,Vrl Logistics,medium_truck,cng,470,18000.0,12166.83,68.71,Heavy,7,0,BS-VI,4.42,,,106.47,0.6759,292.79
Road,Vrl Logistics,medium_truck,cng,499,13000.0,7251.56,59.73,Heavy,3,1,BS-IV,6.17,,,80.93,0.5578,222.56
Road,Vrl Logistics,medium_truck,cng,677,18000.0,8821.46,65.4,Heavy,5,0,BS-IV,7.37,,,91.97,0.4901,252.92
Road,Vrl Logistics,medium_truck,cng,345,22000.0,19928.52,48.53,Heavy,4,3,BS-VI,4.11,,,84.13,0.9058,231.36
Road,Vrl Logistics,medium_truck,cng,373,18000.0,11303.32,53.96,Heavy,7,8,BS-IV,5.43,,,68.77,0.628,189.12
Road,Vrl Logistics,medium_truck,cng,743,13000.0,9983.02,57.64,Moderate,9,6,BS-IV,7.51,,,98.95,0.7679,272.11
Road,Vrl Logistics,medium_truck,cng,619,16000.0,8671.95,65.33,Heavy,3,7,BS-VI,6.47,,,95.72,0.542,263.23
Road,Vrl Logistics,medium_truck,cng,580,13000.0,6985.39,70.36,Heavy,12,0,BS-VI,6.91,,,83.94,0.5373,230.83
Road,Vrl Logistics,medium_truck,cng,351,22000.0,19633.63,48.82,Low,12,1,BS-IV,4.7,,,74.87,0.8924,205.89
Road,Vrl Logistics,medium_truck,cng,467,16000.0,13082.76,72.18,Low,12,8,BS-VI,4.56,,,102.57,0.8177,282.07
Road,Vrl Logistics,medium_truck,cng,528,20000.0,15978.46,72.38,Low,9,2,BS-VI,6.72,,,78.59,0.7989,216.12
Road,Vrl Logistics,medium_truck,cng,652,20000.0,17102.38,59.31,Low,9,0,BS-VI,8.49,,,76.86,0.8551,211.37
Road,Vrl Logistics,medium_truck,cng,525,22000.0,10736.67,66.35,Moderate,12,2,BS-IV,5.63,,,93.36,0.488,256.74
Road,Vrl Logistics,medium_truck,cng,816,18000.0,13646.1,73.12,Heavy,6,2,BS-IV,6.39,,,127.82,0.7581,351.5
Road,Vrl Logistics,medium_truck,cng,340,18000.0,9038.17,64.95,Low,5,7,BS-VI,7.7,,,44.24,0.5021,121.66
Road,Vrl Logistics,medium_truck,cng,680,22000.0,20308.88,55.16,Low,9,0,BS-IV,6.27,,,108.58,0.9231,298.59
Road,Vrl Logistics,medium_truck,cng,659,20000.0,13406.02,54.81,Low,10,5,BS-VI,5.32,,,124.05,0.6703,341.14
Road,Vrl Logistics,medium_truck,cng,428,15000.0,7383.58,62.14,Low,10,6,BS-IV,6.33,,,67.66,0.4922,186.06
Road,Vrl Logistics,medium_truck,cng,445,16000.0,11336.83,68.67,Heavy,8,2,BS-IV,7.2,,,61.84,0.7086,170.06
Road,Vrl Logistics,medium_truck,cng,439,15000.0,9782.68,62.88,Low,12,3,BS-IV,6.74,,,65.22,0.6522,179.35
Road,Gati,medium_truck,diesel,182,5000.0,2550.0,44.55,Moderate,14,2,BS-IV,5.699,,,31.956,0.51,73.499
Road,Gati,medium_truck,diesel,99,3500.0,2835.0,47.89,Heavy,9,6,BS-VI,5.525,,,18.065,0.81,37.937
Road,Gati,medium_truck,diesel,130,4500.0,4005.0,47.22,Heavy,12,6,BS-VI,4.791,,,27.266,0.89,57.259
Road,Gati,medium_truck,diesel,162,4000.0,2240.0,42.78,Moderate,15,1,BS-III,5.044,,,32.205,0.56,77.292
Road,Gati,medium_truck,diesel,104,4500.0,2160.0,46.56,Moderate,5,10,BS-IV,3.746,,,27.851,0.48,64.057
